Question,Response
ในปี พ.ศ. 2535 เนคเทคได้เชื่อต่อคอมพิวเตอร์กับมหาวิทยาลัย 6 แห่ง เรียกว่าเครือข่ายใด,เครือข่ายไทยสาร
ถนนเทพารักษ์ในจังหวัดสมุทรปราการเป็นทางหลวงแผ่นดินหมายเลขใด,3268
ถนนเทพารักษ์ในจังหวัดสมุทรปราการมีระยะทางประมาณกี่กิโลเมตร,28
แฮร์รี่ พอตเตอร์ เข้าเรียนที่โรงเรียนคาถาพ่อมดแม่มดและเวทมนตร์ศาสตร์ที่ใด จากชุดนวนิยายแฟนตาซีเรื่อง แฮร์รี่ พอตเตอร์,ฮอกวอตส์
ใครเป็นผู้ประพันธ์ชุดนวนิยายแฟนตาซีเรื่อง แฮร์รี่ พอตเตอร์,เจ. เค. โรว์ลิง
จุดเริ่มต้นของแม่น้ำแอมะซอนอยู่ที่ประเทศไหน,เปรู
แม่น้ำสายที่ยาวที่สุดของโลกคือแม่น้ำอะไร,แม่น้ำแอมะซอน
แพทย์แผนปัจจุบันคนแรกของไทยที่บุกเบิกนำเอาสมุนไพรมาใช้ร่วมกับการรักษาแบบแผนปัจจุบันคือใคร,แพทย์หญิงเพ็ญนภา ทรัพย์เจริญ
ยาปฏิชีวนะที่มีชื่อว่า ไรแฟมพิซิน ได้รับอนุญาติให้จำหน่ายในสหรัฐอเมริกาในปี ค.ศ. ใด,1971
ถิ่นกำเนิดของต้นบานบุรีสีม่วงอยู่ที่ประเทศไหน,บราซิล
"บริษัทข้ามชาติผู้ผลิตเครื่องใช้ไฟฟ้าและผลิตภัณฑ์เซรามิกของญี่ปุ่น ""เคียวเซร่าคอร์ปอเรชัน"" ก่อตั้งในปี ค.ศ. ใด",1959
"ใครคือผู้ก่อตั้งบริษัทข้ามชาติผู้ผลิตเครื่องใช้ไฟฟ้าและผลิตภัณฑ์เซรามิกของญี่ปุ่น ""เคียวเซร่าคอร์ปอเรชัน""",คะซุโอะ อินะโมะริ
ตามเทพปกรณัมนอร์ส เทพโลกิมีบุตรกี่ตน,3
ในคัมภีร์วิสุทธิมรรค อาชีวัฏฐมกศีลถูกเรียกไว้อีกชื่อหนึ่งว่าอะไร,อาทิพรหมจริยกะศีล
ศิลปินอาวุโส ประสาน ศิลป์จารุ มีชื่อเดิมว่าอะไร,ทองแป๊ะ สินจารุ
"ศิลปินอาวุโสท่านใดที่เป็นผู้ริ่เริ่มให้ประพันธ์เพลง ""พระภูมิพลมหาราช"" ในปี 2522",ประสาน ศิลป์จารุ
พระภิกษุอัครสาวกเบื้องซ้ายของพระพุทธเจ้าที่เป็นพระอสีติมหาสาวกผู้เป็นเอตทัคคะในด้านผู้มีฤทธิ์มากคู่กับพระสารีบุตรคือใคร,พระมหาโมคคัลลานเถระ
จังหวัดใดเป็นจังหวัดที่มีความหนาแน่นของประชากรน้อยที่สุดในประเทศฟิลิปปินส์,จังหวัดอาปาเยา
นักเปียโนชาวเอเชียที่อายุน้อยที่สุดในประวัติศาสตร์ที่ชนะเลิศรายการแข่งขันเปียโนระดับโลกมีชื่อว่าอะไร,หลี่ หยุนตี๋
เกมอาร์พีจีชุดไฟนอลแฟนตาซีชุดแรกออกวางจำหน่ายในประเทศญี่ปุ่นเมื่อปี พ.ศ. ใด,2530
สกุลเงินในเกมอาร์พีจีชุดไฟนอลแฟนตาซีเรียกว่าอะไร,กิล
กลุ่มน้ำตาลมิตรผลได้ขยายฐานการผลิตไปในประเทศลาวโดยใช้ชื่อว่าอะไร,บริษัท น้ำตาลมิตรลาว จำกัด
โรงงานน้ำตาลใดเป็นแห่งแรกในประเทศไทยที่ได้รับการรับรองมาตรฐานการจัดการคุณภาพตามระบบ ISO 9001:2008,โรงงานน้ำตาลในกลุ่มมิตรผล
คิม ยู-จ็อง ได้รับรางวัลการแสดงของเธอครั้งแรกในฐานะนักแสดงเด็กยอดเยี่ยมจากละครเรื่องใด,อิลจิแม วีรบุรุษจอมโจร
คณะกรรมการตรวจสอบทรัพย์สินตั้งขึ้นโดยคณะรักษาความสงบเรียบร้อยแห่งชาติในปีใด,พ.ศ. 2534
ชื่อของวงดนตรีร็อกที่กำเนิดและโด่งดังมากในประเทศญี่ปุ่น ลักอ็องเซียล เป็นคำจากภาษาใด,ภาษาฝรั่งเศส
แอ่งปัตตานีเป็นแอ่งสะสมตะกอนอายุเทอร์เชียรีอยู่ที่ไหนในทะเลไทย,อ่าวไทย
การวางตัวของแอ่งปัตตานีเป็นไปในแนวลักษณะใด,เหนือ-ใต้
ใครคือทาสชาวอเมริกันซึ่งนำการกบฏของทาสในรัฐเวอร์จิเนีย เมื่อวันที่ 21 สิงหาคม ค.ศ. 1831,"แนทแธนเนียล ""แนต"" เทอร์เนอร์"
พ่อไก่แจ้ เป็นบทประพันธ์แนว คอมเมดี ของใคร,ทมยันตี
พ่อไก่แจ้ บทประพันธ์ของ ทมยันตี ถูกนำมาสร้างเป็นภาพยนตร์ ในปี พ.ศ. 2519 กำกับโดยใคร,เชิด ทรงศรี
กุหลาบ สายประดิษฐ์ รู้จักกันดีในนามปากกาว่าอะไร,ศรีบูรพา
กุหลาบ สายประดิษฐ์ มีพ่อชื่ออะไร,สุวรรณ เป็นเสมียนเอก
เลลีสตัด เป็นเมืองในประเทศเนเธอร์แลนด์ เป็นเมืองที่สร้างจากการถมทะเล ก่อตั้งในปี ค.ศ.ใด,1967
พรรคยุติธรรมและเอกภาพอินโดนีเซีย เป็นพรรคการเมืองในอินโดนีเซีย ที่จัดตั้งขึ้นเมื่อเดือนธันวาคม พ.ศ. 2541 โดยแยกตัวออกมาจากพรรคใด,พรรคโกลการ์
ผู้นำพรรคคนแรกของพรรคยุติธรรมและเอกภาพอินโดนีเซีย คือผู้ใด,นายพล เอดี ซูดรายัต
โรงเรียนเบญจมราชูทิศ เป็นโรงเรียนสำหรับเด็กระดับการศึกษาใด,มัธยมศึกษา
โรงเรียนเบญจมราชูทิศ เป็นชื่อโรงเรียนในระดับมัธยมศึกษา ซึ่งจัดตั้งตามพระราชประสงค์ของพระเจ้าอยู่หัวรัชกาลใด,รัชกาลที่ 5
มิลวอกี เป็นเมืองใหญ่ในมลรัฐอะไรของสหรัฐอเมริกา,วิสคอนซิน
หลวงพ่อก้าน ภทฺทโก มีพื้นเพเป็นคนจังหวัดใด,ชลบุรี
หลวงพ่อก้าน ภทฺทโก บรรพชาเป็นสามเณรครั้งแรกที่วัดใด,วัดห้วยใหญ่
แอนนา นิโคล สมิธ หรือ วิกกี ลินน์ โฮแกน มาร์แชลล์ เป็นนักแสดงชาวอะไร,อเมริกัน
แอนนา นิโคล สมิธ หรือ วิกกี ลินน์ โฮแกน มาร์แชลล์ นักแสดงชาวอเมริกัน เสียชีวิตด้วยอาการใด,หัวใจวาย
ศาสตร์จีนแขนงหนึ่งเกี่ยวกับการอยู่อาศัยให้สอดคล้องกับสภาพแวดล้อม เรียกว่าอะไร,ฮวงจุ้ย
โรเบิร์ต เอ. ไฮน์ไลน์ เป็นนักเขียนนิยายแนวไหน,นิยายวิทยาศาสตร์
นิยายของ โรเบิร์ต เอ. ไฮน์ไลน์ เรื่อง The moon is a harsh mistress แปลในชื่อไทยว่าอะไร,จันทราปฏิวัติ
ท่าเรือน้ำลึกแหลมฉบัง ตั้งอยู่ในเขตจังหวัดอะไร,ชลบุรี
ท่าเรือน้ำลึกแหลมฉบังอยู่ภายใต้การดูแลของหน่วยงานใด,การท่าเรือแห่งประเทศไทย
คิม ฮี-ช็อล นักดนตรีเกิดประเทศใด,เกาหลีใต้
กลุ่มบอยแบนด์ ทงบังชินกี ของเกาหลีใต้ได้รับการเปิดตัวเมื่อ พ.ศ. ใด,2546
พาสเทล เป็นการ์ตูนที่ตีพิมพ์ลงในโชเน็นแมกกาซีนสเปเชี่ยล แต่งโดยใคร,โตชิฮิโกะ โคบายาชิ
พาสเทล การ์ตูนที่แต่งโดยโตชิฮิโกะ โคบายาชิ เริ่มต้นตีพิมพ์บนโชเน็นแมกกาซีนรายสัปดาห์ แล้วย้ายไปลงในโชเน็นแมกกาซีนรายเดือนตั้งแต่ตอนที่เท่าใด,ตอนที่ 50
ณธษา เวชประสิทธิ์ นักแสดงชาวไทย มีชื่อเล่นว่าอะไร,ไอซ์
ณธษา เวชประสิทธิ์ นักแสดงชาวไทย ภูมิลำเนาเป็นคนจังหวัดอะไร,ลพบุรี
เจ้าของนามปากกา จ่าแฉ่ง คอลัมนิสต์ในหนังสือพิมพ์ไทยรัฐ มีชื่อจริงว่าอะไร,สมชาย กรุสวนสมบัติ
สมชาย กรุสวนสมบัติ คอลัมนิสต์ชื่อดัง เจ้าของนามปากกา ซูม และ จ่าแฉ่ง ในหนังสือพิมพ์ไทยรัฐ จบชั้นประถมศึกษาจากโรงเรียนอะไร,โรงเรียนบรรพตประชาสรรค์
ชาลส์ มักไค นักเขียน กวี ผู้สื่อข่าว และนักแต่งเพลงชาวสกอต เกิดเมืองอะไร,เพิร์ท
หนังสือสารคดี Extraordinary Popular Delusions and the Madness of Crowds ที่เขียนโดยชาลส์ มักไค บรรยายสภาวะความคลั่งทิวลิปที่เกิดขึ้นในตลาดการค้าหัวดอกทิวลิปในประเทศอะไร,เนเธอร์แลนด์
เมื่อ พ.ศ. 1893 สมเด็จพระเจ้าอู่ทองทรงสถาปนากรุงศรีอยุธยาเป็นราชธานี และทรงสถาปนาชื่อเมืองว่าอะไร,กรุงเทพทวารวดีศรีอยุธยา
เมื่อ พ.ศ. 2148 สมเด็จพระนเรศวรมหาราชเสด็จสวรรคต และมีกษัตริย์พระองค์ใดขึ้นครองราชย์เป็นลำดับถัดมา,สมเด็จพระเอกาทศรถ
เปลือกสมอง (cerebral cortex) ซึ่งเป็นเปลือกนอกของซีรีบรัม ในสัตว์มีกระดูกสันหลัง เรียกสั้นๆ ว่าอะไร,คอร์เทกซ์
ใครจากสหรัฐอเมริกาที่เป็นผู้นำกองเรือ4 ลำเข้ามาในอ่าวโตเกียวในปี ค.ศ. 1853,พลเรือจัตวา แมทธิว ซี เพอร์รี
ยูฟ่ายูโรปาลีก นัดชิงชนะเลิศ 2016 ซึ่งแข่งขันกันที่ซังคท์ยาค็อพ-พาร์คในเมืองบาเซิล ประเทศสวิตเซอร์แลนด์ มีทีมที่ชนะเลิศคือทีมอะไร,เซบีย่า
ยูฟ่ายูโรปาลีก ฤดูกาล 2015–16 มีทีมสโมสรเข้าร่วมแข่งขันทั้งหมดกี่ทีม,192 ทีม
ทอนย่า บ้าให้โลกคลั่ง เป็นภาพยนตร์ดราม่าชีวประวัติจากประเทศอะไร,สหรัฐอเมริกา
Tonyha Harding Allison Janney นักแสดงในเรื่อง ทอนย่า บ้าให้โลกคลั่ง ได้รับรางวัลออสการ์ครั้งที่ 90 ในสาขาใด,นักแสดงสมทบหญิงยอดเยี่ยม
ในละครเรื่องเดิมพันบัลลังก์เดือด องค์ชายยองซู เป็นพระราชโอรสองค์ที่เท่าใด ในพระเจ้าซุกจงแห่งราชวงศ์โชซ็อน,องค์ที่ 4
ในละครเรื่อง เดิมพันบัลลังก์เดือด องค์ชายยองซู พระราชโอรสองค์ที่ 4 ในพระเจ้าซุกจง รับบทโดยนักแสดงคนใด,จัง กึน-ซ็อก
ภาพยนตร์เรื่อง คริส กะ จ๋า บ้าสุด...สุด ที่ออกฉายในปี พ.ศ. 2551 ตัวละคนทีชื่อ เก่งฉกาจ รับบทโดยใคร,ชาคริต แย้มนาม
ภาพยนตร์เรื่อง คริส กะ จ๋า บ้าสุด...สุด ที่ออกฉายในปี พ.ศ. 2551 กำกับการแสดงโดยใคร,กรันย์ คุ้มอนุวงศ์
สี่แยกจุดตัดระหว่างถนนงามวงศ์วานกับถนนกำแพงเพชร 6 ในท้องที่แขวงลาดยาว เขตจตุจักร เรียกว่าแยกอะไร,บางเขน 2
สมเด็จพระจักรพรรดิฮั่นจ้าว แห่งประเทศจีน ขึ้นครองราชย์เมื่อ ค.ศ. ใด,ค.ศ. 121
กีฬามหาวิทยาลัยแห่งประเทศไทย ครั้งที่ 30 มีชื่อเรียกสั้นๆ ว่าอะไร,ศรีปทุมเกมส์
กีฬามหาวิทยาลัยแห่งประเทศไทย ครั้งที่ 30 หรือ ศรีปทุมเกมส์ มีหน่วยงานใดเป็นเจ้าภาพจัดการแข่งขัน,มหาวิทยาลัยศรีปทุม
อัพจี ค่ายเพลงย่อยในเครือจีเอ็มเอ็มแกรมมี่ เปิดตัวค่ายในปี พ.ศ. 2542 กับศิลปินคนแรกคือใคร,จิระศักดิ์ ปานพุ่ม
สมาคมวิทยาสัตว์ลึกลับนานาชาติ (International society of Cryptozoology หรือ ISC) ถูกก่อตั้งขึ้นในปี ค.ศ. 1982 ที่ประเทศอะไร,สหรัฐอเมริกา
นักวิทยาศาสตร์หด้านวิทยาสัตว์ลึกลับที่ชื่อเสียงคนหนึ่งคือ คาร์ล ชูเกอร์ มาจากประเทศใด,อังกฤษ
ศัลย์ อิทธิสุขนันท์ พิธีกรชื่อดังสำเร็จการศึกษาระดับปริญญาตรีที่มหาวิทยาลัยใด,มหาวิทยาลัยธรรมศาสตร์
สัญลักษณ์ Rb ในตารางธาตุหมู่ที่ 1 คือธาตุอะไร,รูบิเดียม
วิทยาลัยชุมชนบุรีรัมย์ เป็นสถาบันอุดมศึกษาของรัฐในกลุ่มสถาบันวิทยาลัยชุมชน ตั้งอยู่ที่ตำบลอะไร ของเมืองบุรีรัมย์,ตำบลบัวทอง
กบฏโพกผ้าเหลือง ใน ค.ศ. 184–205 ในจักรวรรดิจีน เกิดขึ้นโดยมีจุดมุ่งหมายเพื่อล้มล้างราชวงศ์ใด,ราชวงศ์ฮั่น
วรรณกรรมจีนอิงประวัติศาสตร์เรื่องสามก๊ก ฉบับของเจ้าพระยาพระคลัง (หน) มีการปรากฏของเหตุการณ์กบฏโพกผ้าเหลืองซึ่งในเรื่อง เรียกว่าอะไร,โจรโพกผ้าเหลือง
ฮิวแมนเนเจอร์ เป็นเพลงซิงเกิลอเมริกันของนักร้องคนใด,ไมเคิล แจ็กสัน
ฮิวแมนเนเจอร์ เพลงซิงเกิลอเมริกันของไมเคิล แจ็กสัน เป็นซิงเกิลที่ห้าจากอัลบั้มเดี่ยวที่ชื่อว่าอะไร,ทริลเลอร์
ปฐมกษัตริย์แห่งอาณาจักรโคกูรยอ ในคาบสมุทรเกาหลี คือใคร,พระเจ้าทงมย็องซ็อง
พระเจ้าทงมย็องซ็อง ปฐมกษัตริย์แห่งอาณาจักรโคกูรยอ แห่งคาบสมุทรเกาหลี มีพระนามเดิมว่าอะไร,จูมง
วิลเลียม เฮอร์เชล นักดาราศาสตร์ชาวอังกฤษเชื้อสายเยอรมัน เป็นผู้ค้นพบดาวอะไรเมื่อปี พ.ศ. 2324,ดาวยูเรนัส
บิดาของ วิลเลียม เฮอร์เชล นักดาราศาสตร์ชาวอังกฤษเชื้อสายเยอรมัน คือใคร,ไอแซก เฮอร์เชล
อาณาจักรสุโขทัย ตั้งอยู่บนที่ราบลุ่มแม่น้ำอะไร,แม่น้ำยม
หลังสิ้นรัชกาลพระมหาธรรมราชาที่ 4 พระยายุทธิษฐิระซึ่งเดิมทีอยู่ศรีสัชนาลัย ได้เข้ามาครองเมืองอะไร,พิษณุโลก
ฮิเดโอะ อิชิกุโระ นักแสดงชาวญี่ปุ่น เกิดที่จังหวัดใดของญี่ปุ่น,โทชิกิ
ฮิเดโอะ อิชิกุโระ นักแสดงชาวญี่ปุ่นแสดงละครเรื่องแรกเมื่อปี ค.ศ. 2005 ชื่อเรื่องอะไร,Gokusen ภาค 2
ภาษาสุ่ย หรือภาษาสวี หรือภาษาอ้ายสุ่ย พูดโดยชาวสุ่ยในประเทศใด,ประเทศจีน
ชาวสุ่ยในประเทศจีน ใช้ภาษาใดเป็นภาษาที่สอง,ภาษาจีนกลาง
เจ้าชายเอ็ดเวิร์ด เอิร์ลแห่งเวสเซ็กส์ มีพระนามเต็มว่าอะไร,เอ็ดเวิร์ด แอนโทนี ริชาร์ด หลุยส์
เจ้าชายเอ็ดเวิร์ด เอิร์ลแห่งเวสเซ็กส์ มีมารดาเป็นใคร,สมเด็จพระราชินีนาถเอลิซาเบธที่ 2
อนงค์พร พรหมรัด นักกีฬาวอลเลย์บอลหญิงของไทย เกิดที่จังหวัดใด,พิษณุโลก
อนงค์พร พรหมรัด ได้เข้าร่วมการแข่งวอลเลย์บอลในกีฬามหาวิทยาลัยอาเซียน ครั้งที่ 17 ที่จัดขึ้นที่ประเทศใด,ประเทศอินโดนีเซีย
ซูเปอร์เอิร์ธหมายถึงดาวเคราะห์คล้ายโลก แต่มีอะไรมากกว่าโลก,มวล
ใครคือพระราชธิดาพระองค์แรกในสมเด็จพระราชินีนาถวิกตอเรีย และเจ้าฟ้าชายอัลเบิร์ต แห่งแซ็กซ์-โคบูร์กและก็อตธา,เจ้าหญิงวิกตอเรีย
"ใครคือผู้อำนวนการสร้างละครเรื่อง ""เนตรนาคราช""",โอลิเวอร์ บีเวอร์
"วิยะดา โกมารกุล ณ นคร ได้คว้ารางวัยลรองชนะเลิศในเพลง ""Reality"" จากเวทีการประกวดใด",การประกวดร้องเพลงชิงแชมป์ประเทศไทย (สยามกลการ)
"บทเพลง ""เพียงแค่ใจเรารักกัน"" เป็นผลงานการร้องของใคร",วิยะดา โกมารกุล ณ นคร
รัฐใดของบราซิลที่ติดทะเลและมีชายฝั่งสั้นที่สุด,รัฐปีเอาอี
รัฐปีเอาอี ประเทศบราซิลมีชายฝั่งทะเลยาวกี่กิโลเมตร,66 กิโลเมตร
นิยามของน้ำจืดคือน้ำที่มีเกลือละลายอยู่น้อยกว่ากี่ส่วนในพันส่วน,0.5 ส่วน
น้ำจืดในธรรมชาติมีเพียงร้อยละเท่าใดจากปริมาณน้ำทั้งหมดในโลก,ร้อยละ 3
นักมวยไทยและมวยสากลคนไหนมีชื่อจริงว่าดำรงค์ คงสุข,ยอดดำรงค์ ศิษย์ยอดธง
ยอดดำรงค์ ศิษย์ยอดธง เสียแชมป์โลกรุ่นซูเปอร์แบนตัมเวท WBA ให้กับนักมวยคนใด,โอซามุ ซาโตะ
"ผู้กำกับการแสดงคนไหนเป็นคนกำกับการแสดงละครเรื่อง ""คู่เดือด""",วีระชัย รุ่งเรือง
น้ำกร่อยหรือน้ำทะเลในสภาพปกติมีสภาพเป็นด่างอ่อน ๆ pH จะอยู่ในช่วงประมาณเท่าใด,7.3 ไปจนถึง 8.5
นักแสดงหญิงคนใดที่เคยได้รับฉายาว่า “อีหน้างอกหน้ากระดาน” จากละครเรื่องขุนศึกมหาราช,กนกวรรณ ด่านอุดม
กนกวรรณ ด่านอุดมเคยเป็นผู้จัดละครให้กับช่อง 5 โดยใช้ชื่อว่าอะไร,รัศมีดาวการละคร
ทางหลวงแผ่นดินหมายเลข 12 สายแม่สอด (เขตแดน)–มุกดาหาร มีระยะทางทั้งสิ้นรวมกี่กิโลเมตร,793.391 กิโลเมตร
ทางหลวงแผ่นดินหมายเลข 12 ช่วงที่ผ่านตาก-สุโขทัยมีชื่อเรียกว่าถนนใด,ถนนจรดวิถีถ่อง
สมรักษ์ คำสิงห์ ได้เข้าสู่ทีมชาติครั้งแรกในการแข่งขันโอลิมปิกที่จัดขึ้นที่เมืองไหน,บาร์เซโลนา
สมรักษ์ คำสิงห์ มีผลงานในวงการบันเทิงเข้ามาโดยเริ่มต้นจากละครเรื่องไหน,นายขนมต้ม
สะพานอุตตมานุสรณ์หรือสะพานมอญเป็นสะพานที่ข้ามแม่น้ำใด,แม่น้ำซองกาเรีย
สะพานไม้ใดคือสะพานไม้ที่ยาวที่สุดในประเทศใด,สะพานมอญ
อะไรคือสารประกอบบริสุทธิ์ชนิดเดียวที่พบในธรรมชาติทั้ง 3 สถานะ คือ ของแข็ง ของเหลว และก๊าซ,น้ำ
ที่ใต้ทะเลลึก ซึ่งมีความร้อนและความกดดันสูง จุดเดือดของน้ำอาจอยู่ที่เท่าใด,400℃
ศูนย์กลางพายุเรียกอีกอย่างหนึ่งว่าอะไร,ตาพายุ
ในอดีตประเทศไทยมีปรากฏการณ์น้ำขึ้นจากพายุ เมื่อปี พ.ศ. 2505 ซึ่งเกิดขึ้นที่ไหนใน จ.นครศรีธรรมราช,แหลมตะลุมพุก
พระพุทธรูปองค์ใดเป็นพระพุทธรูปประจำโรงพรียนอ้อมน้อยโสภณชนูปถัมภ์,พระศรีสมุทรสาครภูมิบาล
ใครคืออาจารย์ใหญ่คนแรกของโรงเรียนอ้อมน้อยโสภณชนูปถัมภ์,นายสมปอง สุวรรณโฉม
ดอกไม้ประจำจังหวัดศรีสะเกษคือดอกอะไร,ดอกลำดวน
คำศัพท์ใดหมายถึงรายการของการอธิบายความหมายเพิ่มเติมของคำศัพท์เฉพาะศาสตร์ใดศาสตร์หนึ่ง,อภิธาน
รอยแยกกลาเซอเรียน (Glaserian fissure) เป็นรอยแยกที่บริเวณใดของร่างกาย,กะโหลกศีรษะ
รอยแยกในกะโหลกศีรษะกลาเซอเรียน (Glaserian fissure) ตั้งขึ้นตามชื่อของใคร,โยฮันน์ กลาเซอร์
บิ๊กจ๊อด คือชื่อเรียกในวงการสื่อสารมวลชนซึ่งหมายถึงใคร,สุนทร คงสมพงษ์
คติประจำตัวของ พล.อ. สุนทร คงสมพงษ์ คืออะไร,"""ไม่ฆ่าน้อง ไม่ฟ้องนาย ไม่ขายเพื่อน"""
วันทหารม้า ตรงกับวันที่เท่าไหร่ของทุกปี,4 มกราคม
ปลาฉลามหางยาวธรรมดามีลักษณะเด่นคือครีบหางส่วนบนที่ยาวมาก คิดเป็นร้อยละเท่าใดของขนาดตัว,50
ใครคือผู้ให้กำเนิดกิจการลูกเสือของโลก,ลอร์ด เบเดน โพเอลล์
สมเด็จพระเพทราชาเป็นปฐมกษัตริย์ของราชวงศ์ใด,ราชวงศ์บ้านพลูหลวง
ขณะปราบดาภิเษกเป็นพระมหากษัตริย์ สมเด็จพระเพทราชามีพระชนมายุได้กี่พรรษา,51 พรรษา
หลีบุ๋นซิ่วในเรื่องสั้นกำลังภายในเทพธิดาม้าขาว ของกิมย้ง เป็นชนชาติใด,ชาวฮั่น
ชื่อใดคือชื่อเรียกอย่างย่อของจังหวัดสุมาตราตะวันตก,ซุมบาร์
จังหวัดสุมาตราตะวันตก อินโดนีเซียมีเมืองใดเป็นเมืองหลัก,ปาดัง
ผู้กำกับคนใดกำกับภาพยนตร์ไทยเรื่องกาลครั้งหนึ่งเมื่อเช้านี้,บัณฑิต ฤทธิ์ถกล
บทภาพยนตร์เรื่องกาลครั้งหนึ่งเมื่อเช้านี้ใช้เวลาในการเขียนบทกี่ปี,6 ปี
วงอินคาเป็นวงดนตรีที่มีผลงานเพลงในแนวใด,คันทรี่ร็อก
องค์กรใดคือองค์กรระดับยุวชนที่ใหญ่ที่สุดในเวียดนาม,สหภาพเยาวชนคอมมิวนิสต์โฮจิมินห์
สภาวะเจ็บปวดซึ่งเกิดจากเล็บโตจนบาดเข้าไปในเนื้อใต้เล็บข้างหนึ่งหรือทั้งสองข้างเรียกว่าสภาวะอะไร,เล็บขบ
เล็บขบสามารถเกิดได้ทั้งเล็บมือและเล็บเท้า แต่โดยทั่วไปพบเกิดที่ไหนมากกว่ากัน,เล็บเท้า
ศักดิ์สิทธิ์ แท่งทอง เกิดที่ไหน,จังหวัดอุดรธานี
เกาะรัตนโกสินทร์ตั้งอยู่ในเขตไหนของจังหวัดกรุงเทพมหานคร,เขตพระนคร
ในช่วงกรุงศรีอยุธยา ชาวบ้านในแถบพื้นที่บริเวณถนนดินสอ เขตพระนคร มีอาชีพใด,ทำดินสอและกระดาษ
แนวความคิดถนนคนเดินในประเทศไทยเริ่มต้นในสมัยที่ใครเป็นผู้ว่าราชการกรุงเทพมหานคร,ดร.พิจิตต รัตตกุล
ฟอร์ด เฟียสตา รถยนต์ขนาดเล็กมีการวิวัฒนาการทั้งหมดกี่รุ่น,6 รุ่น
กล้วยชนิดใดได้รับความนิยมมากที่สุดในฟิลิปปินส์,กล้วยลากาตัน
ศาสนาคริสต์ยุคใดหมายถึงศาสนาคริสต์ช่วงก่อนการสังคายนาที่ไนเชียครั้งที่หนึ่ง,ศาสนาคริสต์ยุคแรก
ชื่อใดคือชื่ออย่างเป็นทางการของสนามกีฬาแห่งชาติเกาสฺยงของไต้หวัน,สนามกีฬาเวิล์ดเกมส์
หลังคาของสนามกีฬาแห่งชาติเกาสฺยงมีการติดตั้งอะไรเพื่อใช้ผลิตกระแสไฟฟ้าภายในสนาม,แผงโซลาร์เซลล์
องคต ตัวละครเอกตัวหนึ่งของเรื่อง รามเกียรติ์ เป็นลูกของใคร,พญาพาลี กับนางมณโฑ
องคต ตัวละครเรื่องรามเกียรติ์ มีกายสีอะไร,สีเขียว
อัมบูยัต เป็นอาหารพื้นเมืองในเกาะบอร์เนียว ในรัฐซาราวะก์และบรูไน ทำจากแป้งชนิดใด,ปาล์มสาคู
อัมบูยัตมีลักษณะใกล้เคียงกับอาหารชนิดใดที่นิยมรับประทานทางตะวันตกของอินโดนีเซีย,ปาเปอดา
ความหมายของชื่อเพลง เนอการากู เพลงชาติดของสหพันธรัฐมาเลเซียคืออะไร,แผ่นดินของข้า
ปากกาเคมีเรียกอีกอย่างหนึ่งว่าอะไร,ปากกาเมจิก
ในประเทศฟิลิปปินส์ใช้หญ้างวงช้างเป็นยาประเภทใด,ยาแก้บวม
แมงพี้ในภาคใต้คือแมลงชนิดใด,แมลงปอ
ถนนพระรามที่ 3 เลียบแม่น้ำใดในกรุงเทพมหานคร,เจ้าพระยา
1 ไมล์ทะเลเท่ากี่เมตร,1852 เมตร
"ใครคือผู้บัญญัติชื่อเรียก ""เฮลิคอปเตอร์""",กุสตาฟ เดอ พอนดัน ดามาโคร์ท
คำใดในภาษาไทยถิ่นใต้หมายถึงข้าวโพดคั่วหรือป็อปคอร์น,ตอกคง
มีการขายข้าวโพดคั่วในโรงภาพยนตร์ตั้งแต่ปี ค.ศ. ใด,1912
ทุกวันใดของปีคือวันตับอักเสบโลก,28 กรกฎาคม
ในแต่ละปีจะมีผู้เสียชีวิตจากตับอักเสบ บี หรือ ซี ประมาณกี่คน,1.5 ล้านคน
ในสมัยกรุงรัตนโกสินทร์บริเวณปากคลองตลาดเป็นตลาดขนาดใหญ่ที่ค้าขายสินค้าใด,ปลา
เอฟเอคัพเป็นการแข่งขันฟุตบอลถ้วยในประเทศอังกฤษที่ใช้การแข่งขันแบบใด,แพ้คัดออก
การแข่งขันฟุตบอลถ้วยเอฟเอคัพเริ่มการแข่งขันเป็นครั้งแรกเมื่อใด,ค.ศ. 1872
หนูผีนากเป็นสัตว์ที่มีอวัยวะส่วนใดไวต่อการสัมผัส ใช้สำหรับนำทางและหาอาหารใต้น้ำคล้ายกับนาก,หนวด
ออกัสตัส ฟิทซ์รอย ดยุกที่ 3 แห่งกราฟตัน ดำรงตำแหน่งเป็นนายกรัฐมนตรีแห่งบริเตนใหญ่คนที่เท่าใด,คนที่ 10
ปอยเปตเป็นเมืองชายแดนระหว่างประเทศใดกับไทย,กัมพูชา
ออกัสตัส ฟิทซ์รอย ดยุกที่ 3 แห่งกราฟตัน นักการเมืองและรัฐบุรุษชาวอังกฤษ ดำรงตำแหน่งเป็นนายกรัฐมนตรีแห่งบริเตนใหญ่ในปี 1763 เมื่ออายุเท่าใด,33 ปี
เมืองปอยเปตมีพื้นที่ติดกับจังหวัดใดของประเทศไทย,สระแก้ว
ปลาตกเบ็ดหลังค่อมเป็นปลาน้ำลึกที่อาศัยอยู่ที่ระดับความลึกถึงกี่เมตร,"4,500"
ผู้ค้นพบปลาตกเบ็ดหลังค่อมคือใคร,เจมส์ เยต จอห์นสัน
