Question,Response
หลังจากนายพุ่ม สาคร ได้เปลี่ยนไปนับถือศาสนาคริสต์พร้อมกับเปลี่ยนชื่อเป็นอะไร,นายนิโคลัย พุ่มสกี้ (Nikolai Pumsky)
วัดชลธาราสิงเห  เริ่มสร้างขึ้นในสมัยรัชกาลที่ 4 อยู่ในจังหวัดใดของภาคใต้,จังหวัดนราธิวาส
ในจังหวัดนราธิวาส มีวัดอะไรที่สำคัญทางประวัติศาสตร์ระหว่างพรมแดนไทยกับมาเลเซีย,วัดชลธาราสิงเห
สุขสันต์ วันสว่าง มีชื่อจริงว่าอะไร,สมชาย คำราม
"เจ้าของเพลง ""ฝนเดือนหก"" คือใคร",รุ่งเพชร แหลมสิงห์
ปฐมกษัตริย์แห่งราชวงศ์ซางในประวัติศาสตร์จีน ในปี 1675-1646 มีพระนามว่าอะไร,ทัง
พระเจ้าเจี่ย กษัตริย์องค์สุดท้ายแห่งราชวงศ์เซี่ย สิ้นพระชนม์ที่เมืองอะไร,เมืองหนานเฉา
ใครเป็นผู้มีส่วนเกี่ยวข้องในการสวรรคตของพระบาทสมเด็จพระปรเมนทรมหาอานันทมหิดล เมื่อ พ.ศ. 2489,บุศย์ ปัทมศริน
โมเน เดกูเอ้ ขึ้นชกมวยสากลครั้งแรกเมื่อไร,22 กันยายน พ.ศ. 2536
การขึ้นชกในเมืองไทยครั้งแรกในปีพ.ศ. 2538 ของโมนี เดกูเอ้  พ่ายแพ้ให้กับใคร,จะเด็ด เฉลิมศรี
ฟีลิปโป  อินซากี นักฟุตบอลชาวอินตาลี เกิดเมื่อไร,วันที่ 9 สิงหาคม ค.ศ. 1973
ภรรยาของฟีลิปโป อินซากี ชื่ออะไร,Alessia Ventura
มหาวิทยาลัยแห่งแรกในเกาหลีเหนือมีชื่อว่าอะไร,มหาวิทยาลัยคิมอิลซอง
มหาวิทยาลัยคิมอิลซอง ในเกาหลีเหนือ ก่อตั้งขึ้นเมื่อไร,วันที่ 9 ตุลาคม ค.ศ. 1946
มาร์ติน แอนโทนี ลันด์ อดีตนักมยปล้ำอาชีพชาวอเมริกา เกิดเมื่อไร,วันที่ 20 กันยายน ค.ศ. 1958
มาร์ติน แอนโทนี ลันด์ มีชื่อในวงการมวยปล้ำมีชื่อว่าอะไร,อาร์น แอนเดอร์สัน
ท้าวทรุปัท หรือ ท้าวยัชนเสน เป็นกษัตริย์ปกครองแคว้นอะไร,แคว้นปัญจาละ
บิดาของศิขัณฑี ธฤษฏัทยุมนะ คือใคร,ท้าวทรุปัท
มูลนิธิหนังสือพิมพ์ไทยรัฐ ก่อตั้งขึ้นเมื่อไร,วันที่ 27 ธันวาคม พ.ศ. 2522
ผู้อำนวยการหนังสือพิมพ์ไทยรัฐคนแรกคือใคร,กำพล วัชรพล
เทวดาตกสวรรค์ เป็นละครโทรทัศน์ไทย ประพันธ์โดยใคร,ประภาส ชลศรานนท์
ในปี พ.ศ. 2532 เทวดาตกสวรรค์ ถูกนำมาสร้างเป็นภาพยนตร์ โดยมีผู้กำกับคือใคร,ชนะ คราประยูร
โรงเรียนปิยะบุตร์ อำเภอบ้านหมี่ อยู่จังหวัดอะไร,จังหวัดลพบุรี
ฮัน จี-มินได้เริ่มต้นอาชีพในวงการบันเทิงขณะที่ยังเป็นนักเรียนชั้นอะไร,นักเรียนมัธยมปลาย
นักแสดงหญิงชาวเกาหลีใต้ มีชื่อเสียงโด่งดังมาจากเรื่องแดจังกึม จอมนางแห่งวังหลวง รับบท ชิน บิ คือใคร,ฮัน จี-มิน
โรงเรียนสารสาสน์วิเทศนครราชสีมา  เป็นโรงเรียนลำดับที่เท่าไร ของกลุ่มโรงเรียนในเครือสารสาสน์,ลำดับที่ 28
หนังสือเล่มสุดท้ายที่อยู่ในเรื่องราวของวรรณกรรมชิ้นเอก ธุลีปริศนา เป็นงานเขียนของใคร,ฟิลิป พูลแมน
พูลแมนได้เริ่มเขียนหนังสือคัมภีร์แห่งฝุ่นธุลี ไว้ในเว็บไซต์ของเขา เมื่อเดือนอะไรในปี 2548,เดือนเมษายน
เจ้าหญิงมาเดอลีนและโอนีลปรากฏตัวต่อสาธารณชนร่วมกันครั้งแรกในเดือนอะไร,เดือนมกราคม
พิธีหมั้นของเจ้าหญิงมาเดอลีนกับโอนีลจัดขึ้นเมื่อไร,วันที่ 25 ตุลาคม พ.ศ. 2555
มหาวิทยาลัยคอร์เนลเป็นมหาวิทยาลัยเอกชนในไอวีลีกตั้งอยู่ที่เมืองใดในสหรัฐอเมริกา,เมืองอิทาคา
เมงูโระเป็น 1 ใน 23 เขตการปกครองพิเศษของเมืองใดในประเทศญี่ปุ่น,กรุงโตเกียว
เขตเมงูโระเป็นที่ตั้งของสถานทูตและสถานกงสุลต่างประเทศกี่แห่ง,15 แห่ง
คริสโตเฟอร์ แลมเบิร์ท เป็นนักแสดงชาวฝรั่งเศสที่เกิดในประเทศใด,สหรัฐอเมริกา
คริสโตฟ กีย์ เดนีส์ ลองแบรต์ นักแสดงชาวฝรั่งเศสเป็นที่รู้จักจากบทอะไรในภาพยนตร์เรื่อง Highlander ปี 1986,คอนเนอร์ แม็คลีออด
ประดิษฐ์ กัลย์จาฤก เจ้าของฉายาว่าอะไร,ราชาโลกบันเทิง
ประดิษฐ์ กัลย์จาฤก ก้าวเข้าสู่วงการบันเทิงในปี พ.ศ. ใด,ปี พ.ศ. 2486
กัญภัส ศรีณรงค์ เป็นนักเรียนทุนดนตรีคลาสสิกในพระบรมวงศานุวงศ์พระองค์ใด,สมเด็จพระเจ้าพี่นางเธอ เจ้าฟ้ากัลยาณิวัฒนา กรมหลวงนราธิวาสราชนครินทร์
กัญภัส ศรีณรงค์ เกิดเมื่อไร,วันที่ 13 พฤษภาคม พ.ศ. 2525
เมย์เดย์เป็นวงดนตรีไต้หวันแนวใด,alternative rock
เมย์เดย์ หรือ อู่เยว่เทียน แปลว่าอะไร,วันแรงงาน
โรงเรียนพระกุมารมหาสารคามเป็นโรงเรียนคาทอลิกในเขตใด,เขตมิสซังอุบลราชธานี
กีฬาตะวันออกไกล ครั้งที่ 10 ในเดือน พฤษภาคม ค.ศ. 1934 จัดขึ้นที่เมืองใด,มะนิลา
นับเป็นครั้งที่ 4 ที่ ฟิลิปปินส์ (เครือจักรภพ) เป็นเจ้าภาพจัดกีฬาอะไรในปี 1934,กีฬาตะวันออกไกล
โรงเรียนสาธิตมหาวิทยาลัยมหาสารคาม เป็นหน่วยงานหนึ่งของมหาวิทยาลัยอะไร,มหาวิทยาลัยมหาสารคาม
โรงเรียนสาธิตมหาวิทยาลัยสารคาม เป็นแห่งเดียวในประเทศไทยที่ไม่ได้สังกัดคณะอะไร,คณะศึกษาศาสตร์
พระวงศ์เธอ พระองค์เจ้าพยอม กรมหมื่นมนตรีรักษา พระนามเดิมว่าอะไร,หม่อมเจ้าพยอม มนตรีกุล
พระวงศ์เธอ พระองค์เจ้าพยอม กรมหมื่นมนตรีรักษา พระราชทานเพลิงพระศพที่วัดอะไร,ณ พระเมรุวัดอรุณราชวราราม
เพรสคอตต์ เชลดอน บุช ทำอาชีพอะไร,นายธนาคารและเป็นนักการเมือง
เพรสคอตต์ บุช เป็นบิดาของใคร,จอร์จ เอช.ดับเบิลยู. บุช
พระยาราชวังสัน นก เป็นบุตรของผู้ใคร,พระยาราชวังสัน (ฉิม)
พระยาราชวังสันได้เป็นหนี่งในข้าราชการรักษาเมืองสมุทรปราการที่ร่วมต้อนรับคณะทูตของใครจากสหรัฐอเมริกา,โยเซฟ บาเลสเตีย
กิตติยากรณ์ ผ่านสำแดง มีชื่อเล่นว่าอะไร,ปังปอนด์
กิตติยากรณ์ ผ่านสำแดง เป็นนักกีฬาวอลเลย์บอลหญิงทีมชาติใด,ทีมชาติไทย
สถาปนิกผู้ออกแบบหอคำหลวง ในงานมหกรรมราชพฤกษ์ 2549 คือใคร,นายรุ่ง จันตาบุญ
รุ่ง จันตาบุญ เกิดเมื่อไร,วันที่ 1 เมษายน พ.ศ. 2515
ทะเลสาบแวเนร์น  ตั้งอยู่ทางตอนใต้ของประเทศอะไร,ประเทศสวีเดน
วชิรวิชญ์ เรืองวิวรรธน์ ชื่อเล่นว่าอะไร,ชิม่อน
วชิรวิชญ์ เรืองวิวรรธน์ เกิดเมื่อไร,วันเสาร์ ที่ 15 มกราคม พ.ศ. 2543
ภูภูมิ พงศ์ภาณุ เป็นชาวอำเภออะไร ในจังหวัดสิงห์บุรี,อำเภอบางระจัน
ภูภูมิ พันละแหง หรือเป็นที่รู้จักในชื่ออะไร,ภูภูมิ พงศ์ภาณุ
เจิ้งชินหวัง ซึ่งมีพระนามเดิมว่าอะไร,จี้ตู้
จี้ตู้เป็นพระโอรสพระองค์ที่สองของใคร,จีเอ่อร์ฮาหล่าง
อุทยานแห่งชาติแก่งกรุง ตั้งอยู่ในพื้นที่จังหวัดอะไร,จังหวัดสุราษฎร์ธานี
รัฐบาลมีโครงการสร้างเขื่อนแก่งกรุง จึงให้ชื่ออุทยานแห่งนี้ว่าอะไร,อุทยานแห่งชาติแก่งกรุง
ริกกี ลี นีลี เกิดเมื่อไร,19 มิถุนายน ค.ศ. 1981
ริกกี คิม เป็นนักแสดงและนายแบบชาวอะไร,ชาวอเมริกัน-เกาหลี
วาสนา วีระชาติพลี หรือ ป้าแต๋ว จบการศึกษาจากคณะสถาปัตยกรรมศาสตร์ มหาวิทยาลัยอะไร,จุฬาลงกรณ์มหาวิทยาลัย
นกกระจอกเทศที่โตเต็มวัยจะมีทางเดินอาหารยาวประมาณเท่าไร,26 ฟุต
ท่าอากาศยานนานาชาติบาห์เรน ตั้งอยู่ที่เกาะอะไรในประเทศบาห์เรน,เกาะอัล มูฮาร์รัก
ท่าอากาศยานนานาชาติบาห์เรน เป็นท่าอากาศยานหลักของสายการบินใด,กัลฟ์แอร์
ยู่เฮ้ง แซ่เอี๊ย หรือ เจริญ เอี่ยมพึ่งพร จบการศึกษาจากโรงเรียนอะไร,โรงเรียนสุพิทยศึกษา
รัตนาภรณ์ เป็นนักกีฬาวอลเลย์บอลหญิงทีมชาติไทย เล่นในตำแหน่งอะไร,ตำแหน่ง บอลเร็ว
บุญเพ็งหีบเหล็ก เป็นฉายาของใคร,นายบุญเพ็ง
บุญเพ็ง หรือฉายาบุญเพ็งหีบเหล็ก เกิดในปีอะไร,ปีขาล
พระยาอภิรักษ์ราชอุทยาน (แฉล้ม อมาตยกุล) ถวายตัวเป็นมหาดเล็กใน รัชกาลใด,รัชกาลที่ 4
กฤษฎา พรเวโรจน์ นักแสดงและนายแบบชาวไทย เกิดที่จังหวัดอะไร,กรุงเทพมหานคร
คิมเบอร์ลี่เข้าเรียนชั้นอนุบาล 1 ถึงประถมศึกษาปีที่ 2 ที่ประเทศอะไร,ประเทศเยอรมนี
อินสตาแกรมถูกคิดค้นขึ้นมาที่เมืองใดในประเทศอเมริกา,ซานฟรานซิสโก
บริษัทใดได้ซื้อหุ้นจำนวนกว่า 64% ของ Agatha Christie Limited ในปี ค.ศ. 1998,ชอเรียน
มารดาของอกาธา คริสตีเป็นคนชนชาติใด,อังกฤษ
คำว่าดงซูเป็นคำภาษาเวียดนามที่หมายถึงอะไร,การศึกษาเกี่ยวกับตะวันออก
ใครเป็นผู้ก่อตั้งดงซู,ฟาน โบ่ย เจิว
ประเทศใดถือได้ว่าเป็นประเทศที่ติดอันดับต้นๆของการส่งไข่มุกออกสู่ตลาดโลก,ประเทศจีน
เส้นยากิโซบะทำมาจากแป้งสาลีผสมอะไร,ไข่ไก่
ยากิโซบะเริ่มแพร่หลายในร้านอาหารข้างถนนในญี่ปุ่นช่วงต้นศตวรรษที่เท่าไร,20
ฌอน เคนนิฟฟ์ หรือมีฉายาว่า ดร. อักษร เป็นผู้เข้าแข่งขันในรายการใด,รายการ เซอร์ไวเวอร์ บอร์เนียว
ฌอน เคนนิฟฟ์ ผู้เข้าแข่งขันในรายการ เซอร์ไวเวอร์ บอร์เนียว ทำอาชีพอะไร,แพทย์
สมิหลา ไทมส์ เป็นหนังสือพิมพ์ท้องถิ่นรายสัปดาห์ เสนอข่าวทั่วไปในภาคใต้ของบริษัทอะไร,บริษัท สมิหลา ไทมส์ จำกัด
เท็ดดีแบร์ เป็นเพลงที่มีชื่อเสียงถูกจัดจำหน่ายในปี ค.ศ. 1957 ใครเป็นผู้บันทึกเสียง,เอลวิส เพรสลีย์
วัดพระศรีรัตนมหาธาตุวรมหาวิหารในจังหวัดพิษณุโลก มีชื่อเรียกกันทั่วไปว่าวัดอะไร,วัดใหญ่
พระประธานของวัดพระศรีรัตนมหาธาตุวรมหาวิหารคือพระพุทธชินราช  เป็นพระปางอะไร,ปางมารวิชัย
หม่อมเจ้าขจรจรัสฤทธิ์ กฤดากร ทรงเป็นโอรสของใคร,พระเจ้าบรมวงศ์เธอ พระองค์เจ้ากฤษดาภินิหาร กรมพระนเรศรวรฤทธิ์
วรฤทธิ์ ไวยเจียรนัย ชื่อเล่นว่าอะไร,เอส
นุศรา ต้อมคำ เกิดที่อำเภอบ้านโป่ง จังหวัดอะไร,จังหวัดราชบุรี
นักกีฬาวอลเลย์บอลหญิงทีมชาติไทยที่เล่นตำแหน่งตัวเซตที่สร้างประวัติศาสตร์คนแรกของประเทศไทยคือใคร,ปริม อินทวงษ์
แหลมทอง บัวไทย มีชื่อและนามสกุลจริงว่าอะไร,มานิจ ฉุนจุ้ย
ชลาศัย ขวัญฐิติ หรือชื่อเดิมเรียกว่าอะไร,หม่อมชลาศัย ยุคล ณ อยุธยา
สุชาติ พรหมรุ่งโรจน์ ใช้นามปากกา หมู นินจา เป็นนักเขียนการ์ตูนในสังกัดสำนักพิมพ์อะไร,สำนักพิมพ์บรรลือสาส์น
รถไฟความเร็วสูงของประเทศใดที่ถือว่าเป็นรถไฟความเร็วสูงสายแรกของยุโรปที่เปิดให้บริการใน พ.ศ. 2510,ฝรั่งเศส
เซนต์ปีเตอร์สเบิร์กเป็นเมืองท่าทางทิศตะวันตกเฉียงเหนือของประเทศอะไร,สหพันธรัฐรัสเซีย
ผู้สร้างเมืองเซนต์ปีเตอร์สเบิร์กของรัสเซีย คือใคร,พระเจ้าซาร์ปีเตอร์มหาราช
สวนจตุจักรเปิดทำการครั้งแรกเมื่อใด,4 ธันวาคม พ.ศ. 2523
เมืองบูดาเปสต์กลายเป็นเมืองเดียวที่มีอาณาเขตครอบคลุมทั้ง 2 ฝั่งของแม่น้ำอะไร,แม่น้ำดานูบ
นากทะเลเป็นสัตว์ในวงศ์ไหน,เพียงพอน
นากทะเลโปรดปรานสาหร่ายทะเลชนิดใด,สาหร่ายเคลท์
เจ้าจอมมารดาเจ้าหญิงจวน เป็นพระราชธิดาของใคร,พระเจ้านครศรีธรรมราช
ไกรวิทย์ พุ่มสุโข อดีตนักแสดง นักร้อง และพิธีกรชาวไทย มีชื่อเล่นเรียกว่าอะไร,ต้อม
บริษัท ดอยคำผลิตภัณฑ์อาหาร จำกัด ดำเนินธุรกิจในด้านผลิตภัณฑ์ชนิดใดเป็นหลัก,อาหารแปรรูป
พระเจ้าจูอี่เป็นกษัตริย์แห่งราชวงศ์ซางของจีน รัชกาลที่เท่าไร,รัชกาลที่ 13 แห่งราชวงศ์ซาง
พระเจ้าจูอี่เป็นกษัตริย์รัชกาลที่ 13 แห่งราชวงศ์ซางในประวัติศาสตร์จีน พระราชโอรสที่สืบทอดราชวงศ์แทนคือใคร,พระเจ้าจูซิน
ทับ จำเกาะ เป็นนักมวยไทยฝีมือดีจากจังหวัด,จังหวัดนครราชสีมา
นายทับขึ้นชกครั้งแรกกับนักมวยจากจังหวัดใด,จังหวัดมหาสารคาม
อาร์ชดยุกเลโอปอลด์ ฟรันซ์แห่งออสเตรีย ทรงเสกสมรสครั้งแรกกับใคร,แลทิเทีย เด เอิร์นเบิร์ก
เป็กกา ปืกเกอ เป็นศาสตราจารย์ชาวฟินแลนด์ด้านเคมีสอนอยู่ที่มหาวิทยาลัยอะไร,มหาวิทยาลัยเฮลซิงกิ
วัน อยู่บำรุง มีชื่อเดิมว่าอะไร,วันเฉลิม อยู่บำรุง
วัน อยู่บำรุง มีบุตรชายกับภรรยาคนก่อน ชื่ออะไร,อาชวิน อยู่บำรุง
ไมยราพคือพญายักษ์เจ้าแห่งเมืองบาดาล เป็นตัวละครในเรื่องอะไร,รามเกียรติ์
ไมยราพ เป็นตัวละครในเรื่องรามเกียรติ์ ซึ่งเป็นโอรสของใคร,ท้าวมหายมยักษ์กษัตริย์เมืองบาดาลองค์ที่ 2
จังหวัดชัยภูมิ เดิมสะกดว่าอย่างไร,ไชยภูมิ์
ณัฐภัสสรา อดุลยาเมธาสิริ ชื่อเดิมคือ บุศริน หยกพรายพันธ์ มีชื่อเล่นว่าอะไร,กอล์ฟ
ณัฐภัสสรา อดุลยาเมธาสิริ ชื่อเล่น กอล์ฟ มีชื่อเดิมว่าอะไร,บุศริน หยกพรายพันธ์
หม่อมราชวงศ์จัตุมงคล โสณกุล เป็นโอรสของใคร,พลตรี หม่อมเจ้าฉัตรมงคล โสณกุล
อนุภาษ เหลืองสดใส ได้รับการคัดเลือกให้เป็นหนึ่งในนักแสดงซีรีส์ รักวุ่น วัยรุ่นแสบ รับบทเป็นใคร,เอิ้น
นายสถิตย์ ลิ่มพงศ์พันธุ์ บ้านเกิดอยู่จังหวัดอะไร,จังหวัดนครศรีธรรมราช
จามาล อุดดีน อัล-อัฟกานี หรือ Jamal ad-Din al-Afghani เป็นนักคิดเจ้าของลัทธิอะไร,ลัทธิรวมกลุ่มอิสลาม
ฮวาง ชาน-ซอง สังกัดค่ายเจวายพีเอ็นเตอร์เทนเมนท์ เป็นศิลปินสมาชิกวงอะไร,วงทูพีเอ็ม
บทประพันธ์เรื่องเขยบ้านนอก เป็นละครแนวคอมเมดี จากบทประพันธ์ของใคร,เพ็ญแข วงศ์สง่า
เพลงประกอบละครเรื่องเขยบ้านนอก ที่ออกอากาศตอนแรกวันที่ 25 ธันวาคม พ.ศ. 2560 ขับร้องโดยใคร,เกียรติกมล ล่าทา
ชเวยังได้ชนะการโหวตนักกีฬายูโดยอดเยี่ยมแห่งปีจากนิตยสารอะไร,นิตยสาร L´Esprit du Judo
ผลงานการประพันธ์เรื่องเขยใหญ่ สะใภ้เล็ก เป็นบทประพันธ์ของใคร,อาริตา
ละครโทรทัศน์เรื่องเขยใหญ่ สะใภ้เล็ก ออกอากาศทุกวัน จันทร์-ศุกร์ เวลา 19.15 น. ทางช่อง 3 ใครเป็นผู้กำกับการแสดง,ชูศักดิ์ สุธีรธรรม
สมเด็จพระราชาธิบดีฎอลาลแห่งจอร์แดน ขึ้นครองราชย์เมื่อ ค.ศ. ใด,ค.ศ. 1951
วิวัฒน์ แช่มรัมย์ นักร้องเพลงแนวเพื่อชีวิต สังกัดแกรมมี่โกลด์ หรือที่รู้จักกันดีในชื่อว่าอะไร,แช่ม แช่มรัมย์
มาร์ก เดวิส เป็นนักสนุกเกอร์อาชีพจากเมืองใด,เมืองเซนต์เลินนาดส์ ซัสเซกซ์
มาร์ก เดวิส นักสนุกเกอร์อาชีพ เริ่มเล่นอาชีพตั้งแต่ปีใด,ปี 1991
พันตรีหญิง อุดมพร พลศักดิ์ อดีตนักกีฬายกน้ำหนักทีมชาติไทย มีชื่อเล่นว่าอะไร,อร
พันตรีหญิง อุดมพร พลศักดิ์ อดีตนักกีฬายกน้ำหนักทีมชาติไทย สมรสกับใคร,นายชัยรัตน์ ล้อประกานต์สิทธิ์
เพชรไทย ชูวัฒนะ นักมวยไทย มีชื่อจริงว่าอะไร,นฤพล สุกใส
ธราวุธ นพจินดา ใช้นามปากกาว่า น้องหนู มีชื่อเล่นว่าอะไร,หนู
มอซือ หรือ จักรพรรดินีเหมา เป็นพระสนมของใคร,พระเจ้าโจยอย
กุมารทอง ป.ปลื้มกมล เป็นพี่ชายของใคร,เวทย์ ศักดิ์เมืองแกลง
อัตชีวประวัติของ ดร. เอ. พี. เจ. อับดุล กลาม ประธานาธิบดีคนที่ 11 ของประเทศอินเดีย ได้ถูกเขียนเป็นหนังสือชื่อว่าอะไร,ปีกแห่งไฟ
หลู่ ซฺวิ่น เป็นนามปากกาของนักเขียนชาวจีนที่สำคัญคนหนึ่งของคริสต์ศตวรรษที่ 20 คือใคร,โจว จางโช่ว
โจว จางโช่ว เป็นนักเขียนชาวจีนที่สำคัญคนหนึ่งของคริสต์ศตวรรษที่ 20 ใช้นามปากกาว่า หลู่ ซฺวิ่น เริ่มเข้าเรียนที่โรงเรียนอะไร,โรงเรียนเจียงหนาน
เจ้าวรทัศน์ ณ ลำพูน สำเร็จการศึกษาจากโรงเรียนอะไร,โรงเรียนจักรคำคณาทร
อาเจะฮ์ เป็นจังหวัดหนึ่งของประเทศอะไร,ประเทศอินโดนีเซีย
องค์บาก 2 เป็นภาพยนตร์ไทยเน้นศิลปะการต่อสู้ ที่นำแสดงโดยใคร,ทัชชกร ยีรัมย์
ภาพยนตร์เรื่ององค์บาก 2 ออกฉายอย่างเป็นทางการในประเทศไทย วันที่ 5 ธันวาคม พ.ศ. 2551 ทำรายได้รวมเท่าไร,102.29 ล้านบาท
ผู้ประดิษฐ์อักษรเบรลล์สำหรับคนตาบอดอ่านโดยใช้นิ้วมือสัมผัส คือใคร,หลุยส์ เบรล
เจ้าหญิงลัลลา มาลิกะฮ์เป็นพระราชธิดาในสมเด็จพระราชาธิบดีมุฮัมมัดที่ 5 เสกสมรสกับใคร,พลโทมุฮัมมัด เชร์เคาวีย์
สะพานภูมิพล มีชื่อเดิมเรียกว่าอะไร,สะพานวงแหวนอุตสาหกรรม
ชมพูภูคา ชื่อวิทยาศาสตร์คืออะไร,Bretschneidera sinensis
เขมรัชต์ สุนทรนนท์ นักจัดรายการวิทยุทางคลื่น 94 อีเอฟเอ็ม มีชื่อเล่นว่าอะไร,อ๋อง
ภรรยาของนายพุทธิพงษ์ ปุณณกันต์ คือใคร,นุสบา วาณิชอังกูร
พระเจ้าบรมวงศ์เธอ พระองค์เจ้าฉวีวรรณ สิ้นพระชนม์ในรัชกาลใด,รัชกาลที่ 5
คุณหญิง เฮเลน เมียร์เรน เกิดเมื่อไร,วันที่ 26 กรกฎาคม ค.ศ. 1945
เฮเลน เมียร์เรน เป็นที่รู้จักจากบทบาทสมเด็จพระราชินีนาถเอลิซาเบธที่ 2 แห่งสหราชอาณาจักร จากภาพยนตร์เรื่องอะไร,เรื่อง The Queen
ปฐมสิทธิ์ เกษตรพัฒนา มีชื่อจริงว่าอะไร,นายเอกกวี แก้วมณี
ปฐมสิทธิ์ชกมวยสากลอาชีพครั้งแรกเมื่อไร,วันที่ 15 กุมภาพันธ์ พ.ศ. 2556
อดัม แกเบรียล การ์เซีย เกิดเมื่อไร,วันที่ 1 มิถุนายน ค.ศ. 1973
อดัม แกเบรียล การ์เซีย มีผลงานเป็นที่รู้จักในภาพยนตร์เรื่องอะไรในปี 2000,Coyote Ugly (2000)
นิมุคตาร์ วาบา เกิดเมื่อไร,วันที่ 15 กรกฎาคม พ.ศ. 2494
นิมุคตาร์ วาบา เป็นผู้บริหารโรงเรียนอะไร,โรงเรียนดรุณศาสน์วิทยา
เศษชิ้นส่วนขนาดเล็กของดาวหางที่ถูกสลัดทิ้งไว้ตามทางโคจรเรียกว่าอะไร,ธารสะเก็ดดาว
วากิ้นที่เป็นปลาทองสายพันธุ์หนึ่งมีแหล่งกำเนิดที่ประเทศใด,จีน
ดร.มารวย ผดุงสิทธิ์ได้รับปริญญาพาณิชยศาสตรดุษฎีบัณฑิตกิตติมศักดิ์มาจากมหาวิทยาลัยใด,ธรรมศาสตร์
ปฐมกริยาคืออะไร,กริยารูปปัจจุบัน
ดวงจันทร์ สุวรรณี มีชื่อเล่นว่าอะไร,หญิง
สบู่หอมนกแก้วผลิตขึ้นครั้งแรกในนามของบริษัทอะไร,บริษัทรูเบียอุตสาหกรรม
บอน โจวี รวมตัวกันในปีอะไร,1983
นกหัวขวานดำอาศัยอยู่ในป่าทั่วภูมิภาคไหน,พาลีอาร์กติกทางตอนเหนือ
รหัสประจำยานของกระสวยอวกาศชาเลนเจอร์คืออะไร,OV-099
ยานชาเลนเจอร์ได้รับเลือกให้ปฏิบัติภารกิจทั้งหมดกี่ครั้ง,10
กระสวยอวกาศดิสคัฟเวอรีเป็นกระสวยอวกาศลำที่เท่าไรขององค์การนาซา,3
ผู้บังคับการบินกระสวยอวกาศดิสคัฟเวอรีให้บินเข้าสู่อวกาศเมื่อวันที่ 26 กรกฎาคม ค.ศ. 2005 คือใคร,นาวาอากาศเอก ไอลีน คอลลินส์
ยานเอนเดฟเวอร์ได้ปฏิบัติภารกิจมาแล้วรวมกี่ภารกิจ,24
ปัจจุบันกระสวยอวกาศเอนเทอร์ไพรซ์ได้ถูกนำไปแสดงที่ใด,Steven F. Udvar-Hazy Center
กระสวยต้นแบบในการสร้างกระสวยอวกาศโคลัมเบียคือกระสวยอวกาศอะไร,กระสวยอวกาศเอนเทอร์ไพรซ์
กระสวยอวกาศแอตแลนติสปฏิบัติภารกิจจนถึงปี พ.ศ. อะไร,พ.ศ. 2553
กระสวยอวกาศโคลัมเบียใช้ปฏิบัติภารกิจมาแล้วกี่ครั้ง,28
กระสวยอวกาศใดเป็นกระสวยอวกาศลำแรกที่นาซ่าได้ใช้งานจริง,กระสวยอวกาศโคลัมเบีย
สถานเอกอัครราชทูตไทยในประเทศกรีซอยู่ที่เมืองใด,กรุงเอเธนส์
ประเทศสกอตแลนด์มีพรมแดนทางทิศใต้ร่วมกับประเทศใด,อังกฤษ
ชื่ออย่างเป็นทางการของประเทศวานูอาตูคืออะไร,สาธารณรัฐวานูอาตู
เกรจ วาเลนไทน์ นักมวยปล้ำชาวอเมริกันได้แชมป์ทั้งหมดกี่แชมป์,40 แชมป์
วัดพระฝางจังหวัดอุตรดิตถ์นับว่าเป็นกลุ่มโบราณสถานของศูนย์กลางเมืองใด,เมืองฝางสวางคบุรี
เลอปุย-อ็อง-เวอแล เป็นเมืองหลวงของจังหวัดใดในประเทศฝรั่งเศส,จังหวัดโอต-ลัวร์
เฟลิกซ์ เอดมุนโดวิช ดเซียร์จินสกี มีชื่อเล่นว่าอะไร,ไอออนเฟลิกซ์
ดร. พิมพ์ใจ ใจเย็น สำเร็จการศึกษาระดับมัธยมต้นที่โรงเรียนอะไร,โรงเรียนสตรีภูเก็ต
ประเทศบอตสวานามีพื้นที่กี่ตารางกิโลเมตร,"600,370"
ทะเลสาบใดในประเทศบอตสวานาที่ถือว่าเป็นทะเลสาบเกลือที่ใหญ่ที่สุดในโลก,มัคกาดิคกาดี
เมืองหลวงของประเทศบอสเนียและเฮอร์เซโกวีนามีชื่อว่าอะไร,ซาราเยโว
ไมเคิล เจมส์ ทินดัล นักรักบี้ชาวอังกฤษสมรสกับผู้ใด,ซารา ฟิลลิปส์
สหพันธรัฐบอสเนียและเฮอร์เซโกวีนาแบ่งออกเป็นกี่รัฐ,10
จำนวนคนว่างงานของประเทศบาร์เบโดสในปี 2549 คิดเป็นอัตราร้อยละเท่าไร,8.7
รถไฟฮกไกโดสายเอะซะชิเป็นรถไฟสายชนบท ในจังหวัดอะไรในประเทศญี่ปุ่น,จังหวัดฮกไกโด
เจ้าจอมทับทิม ในรัชกาลที่ 4 สกุลเดิมคืออะไร,เพ็ญกุล
ใครเป็นผู้ยึดครองประเทศนอร์เวย์ในช่วงสงครามโลก ตั้งแต่ปี พ.ศ. 2483 ถึง 2488,นาซีเยอรมนี
พระเจ้ามโหตรประเทศเป็นเจ้าผู้ครองนครเชียงใหม่องค์ที่ 5 พ.ศ. 2390 - พ.ศ. 2397 พระนามเดิมเรียกว่าอะไร,เจ้าหนานมหาวงศ์
